platform,content,date,rating,likes,images,sight_id,park
携程,5分 超棒 北海公园（Beihai Park），是全国重点文物保护单位、国家AAAA级旅游景区,2026-02-03,5,5,0,232,公园A
携程,5分 超棒 北海位于北京城的中心，是中国现存历史上建园最早、保存最完整、文化沉积最深厚的古典皇家园林,2025-08-30,5,0,0,232,公园A
携程,5分 超棒 北海公园位于京城的中心位置，是世界上现存建园最早，保存最晚整的皇家御园，北海及团城也被列为全国重点文物保护单位,2026-04-19,5,0,0,232,公园A
携程,5分 超棒 北海公园属于中国古代皇家园林,2025-08-19,5,0,0,232,公园A
携程,5分 超棒 北海公园位于北京的中心地区，故宫西北部，东靠景山，南临中南海，北接什刹海，北海公园占地总面积68.2万平方米，其中水面积38.9万平方米，陆地面积29.3万平方米,2025-08-17,5,0,0,232,公园A
携程,5分 超棒 北京最古老的皇家园林之一，北岸的九龙亭西天梵境静心斋等景区美轮美奂，是观赏白塔的绝佳之地,2025-05-23,5,0,0,232,公园A
携程,5分 超棒 北海公园是集古建文物观赏与公园游览休闲的完美结合，休闲亲子散步又可看8百年前文物大白塔,2025-04-16,5,0,0,232,公园A
携程,5分 超棒 ✨北京城中的绿洲｜北海公园的诗意漫步✨ 📍皇家园林里的慢生活 在北京的中心，有一片宁静而美丽的湖泊，那就是北海公园,2025-06-24,5,0,0,232,公园A
携程,5分 超棒 北海公园真是北京性价比最高的公园之一，北门有地铁站，离荷花市场也不远,2025-10-08,5,0,0,232,公园A
携程,• 🌊白塔标志性：白塔矗立于琼岛之上，绿荫拥簇，巍峨壮美，是北海公园的标志性建筑,2025-06-01,5,123,0,232,公园A
携程,北海公园北部游览路线： 从北海公园北门入园 一路右行过分别是： 静心斋、西天梵境、快雪堂、阐福寺、五龙亭和小西天万佛楼 =| 🌐名称：北海公园 =| 📍地址：北京市西城区文津路1号 =| 🎫门票： 🔸旺季：4.1-10.31 10元/人 联票20元/人 🔸淡季：11.1-3.31 5元/人 联票15元/人 =| 🕰时间：6:00-21:00 （19:30停止入园） =| 🚇交通：地铁6、8号线及多路公交可达,,0,0,0,232,公园A
携程,4分 满意 • 🏰皇家园林韵味：北海公园是北京历史悠久的皇家园林，园内亭台楼阁错落有致，湖畔林木郁郁葱葱，风光极美,2025-04-20,4,0,0,232,公园A
携程,• 🏰皇家园林韵味：北海公园是北京历史悠久的皇家园林，园内亭台楼阁错落有致，湖畔林木郁郁葱葱，风光极美,,0,0,0,232,公园A
携程,5分 超棒 北海公园的团城是一个圆形小城堡，由于其规模小巧，且偏居一隅，虽围墙仅与北海公园一墙相接，但从视觉上往往会被那高大的积翠牌坊、长虹卧波般的白玉石桥及琼岛之巅的巍巍白塔夺走视线，极易被忽略,2025-06-02,5,0,0,232,公园A
携程,5分 超棒 北京北海公园，皇家风范尽显，令人陶醉,2025-07-12,5,0,0,232,公园A
携程,北京北海公园，皇家风范尽显，令人陶醉,,0,0,0,232,公园A
携程,5分 超棒 小时候唱的《让我们荡起双桨》，那句歌词“海面倒映着美丽的白塔，四周环绕着绿树红墙”，说的正是北海公园,2025-06-29,5,0,0,232,公园A
携程,5分 超棒 北海公园打卡，都记得小时候的那首歌曲吧🎤：海面倒映着美丽的白塔，四周环绕着绿树红墙,2025-04-04,5,0,0,232,公园A
携程,5分 超棒 白塔位於琼华岛之巅，是北海公园最突出的建筑,2025-05-08,5,1980,0,232,公园A
携程,5分 超棒 北海公园是中国现存最古老、保存最完整的皇家园林之一，位于北京市中心，湖光山色与古建名胜交相辉映,2026-01-20,5,0,0,232,公园A
携程,5分 超棒 北海公园不愧是皇家园林瑰宝，千年历史沉淀，琼岛白塔巍峨，九龙壁栩栩如生，碧水绿树相映成趣，每一处景致都如诗如画,2025-07-07,5,0,0,232,公园A
携程,5分 超棒 北海公园位于北京市西城区，是中国现存最悠久、保存最完整的皇家园林之一，历史可追溯至辽代,2025-05-02,5,0,0,232,公园A
携程,5分 超棒 北京有兩塊九龍壁，一塊在北京的故宮，另一塊就是在北海公園，據說小龍人就是在這裏拍的，小時候印象深刻，這裡的九龍壁比較特別是雙面的，两面都有九条龙在上面另外，可不止这18条大蟠龙呢！整个龙壁建筑装饰有635条龙！感興趣的可以花點時間數一數,2025-05-02,5,0,0,232,公园A
携程,5分 超棒 北京市区内最大的明清两代的皇家园林，门票不超过十元，里面有好几个精美的园中园，无论从东、南、北门哪个门进入，白塔都能首先映入你的眼帘,2025-04-10,5,0,0,232,公园A
携程,5分 超棒 **北海公园游玩点评** 北海公园是北京历史悠久的皇家园林，以“白塔映碧波”的经典景观闻名,2025-05-09,5,0,0,232,公园A
携程,4分 满意 北海公园最早出现于辽代的“金海”，元代所称的燕京八景，有两个景物在北海公园，经过元明历代的扩建，最后形成了皇家园林风貌，因此北海公园是中国建园最早，保存最完整，文化沉积最深厚的皇家古典园林,2025-02-12,4,0,0,232,公园A
携程,北海公园真是藏着逛不完的惊喜！每次去都能发现新的意趣景致，随手一拍都是绝美的画面，发朋友圈直接被朋友们赞爆，果然经典的美永远经得起反复品味~,,0,0,0,232,公园A
携程,冬天的北海公园，宛如一幅淡雅的水墨画卷，缓缓铺展在京城的心脏地带，以其独有的静谧与祥和，吸引着无数游人驻足流连,,0,0,0,232,公园A
携程,5分 超棒 北海公园，皇家园林的璀璨明珠！白塔倒映碧波，柳拂涟漪，舟行画中,2025-11-26,5,0,0,232,公园A
携程,5分 超棒 北海公园：古韵悠然，诗意流淌的京城瑰宝 在北京城的中心，有一片宛如梦幻水乡般的仙境——北海公园，它宛如一颗历经岁月打磨的璀璨明珠，承载着千年的历史底蕴与如诗如画的自然风光，吸引着来自五湖四海的游客纷至沓来,2025-03-06,5,0,1,232,公园A
