platform,content,date,rating,likes,images,sight_id,park
携程,5分 超棒 天坛是明清帝王祭天、祈谷的神圣圣地，中式古建美学天花板,2026-04-29,5,0,0,233,公园B
携程,5分 超棒 天坛公园作为世界文化遗产和国家5A级景区，其亮点不仅在于宏伟庄严的皇家祭坛建筑群，还融合了深厚的历史文化与自然景观,2025-08-01,5,0,0,233,公园B
携程,5分 超棒 九龙柏位于北京市天坛公园皇穹宇西北侧，是园内最具代表性的古树之一,2026-03-26,5,0,0,233,公园B
携程,九龙柏位于北京市天坛公园皇穹宇西北侧，是园内最具代表性的古树之一,,0,0,0,233,公园B
携程,"5分 超棒 天坛的门票确实写的是""门票""二字，在门票下面有天坛的一座三座门的照片，这样一来，这张门票就名副其实的成了门票了",2025-12-20,5,0,1,233,公园B
携程,"天坛的门票确实写的是""门票""二字，在门票下面有天坛的一座三座门的照片，这样一来，这张门票就名副其实的成了门票了",,0,0,1,233,公园B
携程,3分 不错 人太多了，基本上看不太到,2026-06-03,3,0,0,233,公园B
携程,4分 满意 作为明清两代皇帝祭天、祈谷的圣地，北京天坛在建筑、美学和文化思想上都达到了极高的造诣,2026-06-02,4,0,1,233,公园B
携程,5分 超棒 走进天坛，像走进一场盛大而寂静的仪式,2026-04-04,5,0,0,233,公园B
携程,4分 满意 天坛那朱红的围墙庄重威严，祈年殿的蓝瓦圆顶宛如苍穹巨碗,2025-10-19,4,0,0,233,公园B
携程,5分 超棒 天坛，历史的呼吸与静谧的回响,2025-11-14,5,0,0,233,公园B
携程,5分 超棒 天坛是世界文化遗产，是明清两代皇家祭天的坛庙，规格最高，其中的祈年殿，回音壁和圜丘是必看的，这些建筑的屋顶全部都是蓝琉璃瓦，代表上天，是唯一的,2025-10-17,5,0,0,233,公园B
携程,天坛是世界文化遗产，是明清两代皇家祭天的坛庙，规格最高，其中的祈年殿，回音壁和圜丘是必看的，这些建筑的屋顶全部都是蓝琉璃瓦，代表上天，是唯一的,,0,0,0,233,公园B
携程,5分 超棒 天坛是明清两代皇家祭天的场所，从东门进来，经七十二长廊西行，到北神厨，原来是制作祭品的院落，现在改为宝物陈列所，主要是展出皇家祭天的礼器，乐器，祭品，铜人等珍贵文物，材料有鎏金，纯金，铜制，瓷器，还有木制，很值得一看,2025-10-25,5,3,0,233,公园B
携程,5分 超棒 天坛公园在北京的大中轴线上，也是北京天、地、日、月坛中保存最完好建筑最精美的一个祈福之地，祈年殿是北京乃至中国的地标，公园占地面积很大，四季皆景古色古香，各种建筑无不是中国古代祈福寓意的顶峰,2025-09-18,5,0,0,233,公园B
携程,4分 满意 天坛公园越来越多地成为了人们关注的地方，这不仅仅是它在历史上的天人合一的缘源，而是它在不断结予人们心灵上的治愈，这个治愈来自于它的自然之美,2025-12-12,4,0,0,233,公园B
携程,5分 超棒 天坛公园，完全是大自然和古代文化的融合，性价比很高！特别值得参观游览！在这里，行走在丹陛桥上，感受古代的气息，古松聚集，九龙柏的神奇繁茂风韵犹存,2025-11-08,5,0,0,233,公园B
携程,4分 满意 人生建议来到北京一定要去天坛公园，天坛集明、清建筑技艺之大成，是中国古建珍品，是世界上最大的祭天建筑群,2025-12-08,4,0,0,233,公园B
携程,4分 满意 天坛公园现在越来越被众多的游客所青睐，但是去天坛游玩一定要了解一下这里的历史和人文科学,2025-10-20,4,0,0,233,公园B
携程,4分 满意 - 历史文化价值高：天坛是明清两代皇帝祭祀皇天、祈求五谷丰登的皇家祭坛，也是中国现存规模最大、伦理等级最高的古代祭祀建筑群，1998年被联合国教科文组织列入《世界文化遗产名录》,2026-01-01,4,0,0,233,公园B
携程,5分 超棒 天坛是北京必游的景点之一，宏伟壮观的古建筑群令人震撼,2025-08-11,5,0,0,233,公园B
携程,5分 超棒 这次天坛之行体验感极佳，导游许鸿雁许导服务周到细致，责任心强，全程照顾周到,2026-05-28,5,5,1,233,公园B
携程,这次天坛之行体验感极佳，导游许鸿雁许导服务周到细致，责任心强，全程照顾周到,,0,0,0,233,公园B
携程,5分 超棒 当夜幕降临北京中轴线，天坛公园的祈年殿在灯光中苏醒，这座承载着六百年皇家祭天文化的古建筑群，以“天上宫阙”的姿态成为京城夜游的璀璨明珠,2025-08-23,5,0,0,233,公园B
携程,5分 超棒 在繁华喧嚣的北京城中，有一处宛如遗世独立的古老圣地，它承载着数百年的历史沉淀，散发着神秘而庄重的气息，那便是北京天坛,2025-06-25,5,0,0,233,公园B
携程,5分 超棒 天坛公园是非常值得游览的景点，导游姐姐非常专业，随身携带图册，将这里的历史娓娓道来，趣闻讲得幽默诙谐,2025-10-22,5,0,1,233,公园B
携程,5分 超棒 北京的秋天非常美，是一年当中最好的旅游时节,2025-10-16,5,0,0,233,公园B
携程,5分 超棒 北京的天坛公园做为历史文化的传承建筑，是非常好的古迹保存的典范,2025-11-01,5,0,0,233,公园B
携程,5分 超棒 地址，北京市东城区天坛公园百花园 天坛公园百花园位于祈年殿西南、双环万寿亭东南，占地约3万平方米，是天坛公园内以花卉观赏为主题的特色园林景区,2025-05-24,5,0,0,233,公园B
携程,5分 超棒 天坛公园，无疑是北京的一颗璀璨明珠，也是中国古代建筑艺术与文化的杰出代表,2025-07-16,5,2025,0,233,公园B
