platform,content,date,rating,likes,images,sight_id,park
携程,5分 超棒 漫步颐和园，沉醉于昆明湖的碧波与万寿山的苍翠，皇家园林的大气与江南诗意完美交融,2026-04-30,5,1,0,231,公园C
携程,漫步颐和园，沉醉于昆明湖的碧波与万寿山的苍翠，皇家园林的大气与江南诗意完美交融,,0,0,0,231,公园C
携程,5分 超棒 颐和园是中国清朝时期皇家园林，前身为清漪园，位于北京市西郊海淀区新建宫门路,2026-04-09,5,0,0,231,公园C
携程,5分 超棒 在美丽的春天来到皇家园林—颐和园，风景如画，春意盎然,2026-04-27,5,0,0,231,公园C
携程,5分 超棒 多謝奧導帶我地參觀北京故宮是一次震撼心靈的文化之旅！踏入紫禁城，宏偉的太和殿、精緻的角樓，處處彰顯皇家氣派與古代工匠的智慧,2026-04-08,5,0,0,231,公园C
携程,5分 超棒 北京颐和园以她的经典著称全国，是中国🇨🇳以历史悠久的园林景色成为地标,2025-10-25,5,0,0,231,公园C
携程,5分 超棒 强烈推荐秀才说李导！讲解专业又生动，把园内建筑、典故、历史背景都讲得清晰易懂，原本只看风景，听完讲解才读懂每一处景致背后的故事,2026-06-07,5,0,0,231,公园C
携程,5分 超棒 颐和园以前皇家园林，现在大众公园，公园看皇家公园建筑还可看公园收藏的皇家用品,2026-02-20,5,0,0,231,公园C
携程,5分 超棒 颐和园，中国清朝时期皇家园林，前身为清漪园，利用昆明湖、万寿山为基址，以杭州西湖风景为蓝本，汲取江南园林的某些设计手法和意境而建成的一座大型天然山水园，也是保存得最完整的一座皇家行宫御苑，被誉为皇家园林博物馆,2025-10-24,5,0,0,231,公园C
携程,颐和园，中国清朝时期皇家园林，前身为清漪园，利用昆明湖、万寿山为基址，以杭州西湖风景为蓝本，汲取江南园林的某些设计手法和意境而建成的一座大型天然山水园，也是保存得最完整的一座皇家行宫御苑，被誉为皇家园林博物馆,,0,0,0,231,公园C
携程,5分 超棒 如果你问一些北京市民，你对北京最留恋的地方是哪儿？可以断言，相当一部分人都会告诉你，是颐和园，因为，颐和园有说不尽的景致，说不尽的言情，说不尽的回味,2026-04-18,5,5,1,231,公园C
携程,如果你问一些北京市民，你对北京最留恋的地方是哪儿？可以断言，相当一部分人都会告诉你，是颐和园，因为，颐和园有说不尽的景致，说不尽的言情，说不尽的回味,,0,0,0,231,公园C
携程,5分 超棒 冬至后昆明湖部分结冰，古松翠柏映衬红墙黄瓦，佛香阁、苏州街等建筑在冬日更显肃穆,2025-12-23,5,0,0,231,公园C
携程,冬至后昆明湖部分结冰，古松翠柏映衬红墙黄瓦，佛香阁、苏州街等建筑在冬日更显肃穆,,0,0,0,231,公园C
