platform,content,date,rating,likes,saves,comments,source,username,park
小红书,"反复爱上❗️朝阳公园citywalk路线攻略✅️
北京春天citywalk去哪儿？分享这条从亮马河走到朝阳公园的citywalk路线，人少景美，一路可以赏花拍照、放空吸氧和逛吃休闲，全程不绕路，既有欧式浪漫，又有自然治愈，家庭朋友聚会、遛娃or一个人citywalk都非常适合🌸🌿🚶☕️
	
📍地点：朝阳公园+蓝色港湾
🚈交通方式：
出发：10号线【亮马桥站C口】→蓝色港湾
返回：朝阳公园（南门）→地铁3/14号线【朝阳公园站F口】
🎫 门票：免费🆓
🗺️推荐路线：
地铁【亮马桥站C口】🔜亮马河🔜麦家桥🔜好运桥🔜蓝色港湾🔜蓝港观鱼🔜野鸭岛🔜北码头🔜微博IN跨次元引力场🔜燕鸣桥🔜世纪喷泉广场🔜下沉广场🔜朝阳公园（南门）🔜地铁【朝阳公园站F口】
	
✅ 地铁【亮马桥站C口】→好运桥
从地铁出站沿着亮马河走到蓝色港湾，体验欧风情河畔的浪漫，沿路有可赏花吹风看景🌉
✅ 蓝色港湾
集餐饮、休闲和娱乐于一体的欧式风情商圈，累了可逛吃补充能量🏛️
✅ 蓝港观鱼
S曲线观光桥+湖面泡泡灯，可看喷泉⛲+成群锦鲤🐠
✅ 野鸭岛
城市里的小湿地，有绿头鸭🦆、鸳鸯和黑天鹅🦢
✅ 北码头
落日绝佳观赏点，湖景+夕阳+国贸CBD三件套/大裤衩同框🌅
✅ 微博IN跨次元引力场
集合电竞、潮玩、二次元元素的综合体，coser的聚集地🎮
✅ 世纪喷泉广场
经典白色欧式建筑+彩虹阶梯+成群白鸽🕊️ ，浪漫氛围感直接拉满⛲
✅ 下沉广场
经常有音乐会表演，现场live，chill感满满🎶
#朝阳公园 #交换春天 #colorwalk #ourspring #北京旅游攻略 #浪漫生活的记录者 #北京周末去哪儿 #北京citywalk #旅游编辑部 #周末去哪儿 @生活薯 @户外薯 @薯队长 @小红书创作助手
猜你想搜
北京朝阳公园要门票吗
编辑于 04-07",,0,0,399,7,post,,公园D
小红书,春日朝阳公园citywalk 游玩路线图,,0,7,0,0,comment,"微笑豆
作者",公园D
小红书,把我家楼下拍的挺美,,0,0,0,0,comment,momo,公园D
小红书,"朝阳公园！逛了99次才摸清的封神路线
谁懂啊！在北京朝阳公园逛了99次终于
被我挖出这条不走回头路的宝藏路线
免费🆓不预约，全程 3-4h，9000 步逛到爽
打工人周末充电、姐妹拍照都超合适！
✅ 懒人友好路线（南门进超方便）
朝阳公园南门→世纪喷泉→方舟湖大草坪→生命之源→北码头→蓝港看夜景
📸 保姆级机位攻略，拍照超出片
1️⃣世纪喷泉・欧式浪漫打卡点
步行 10 分钟直达！彩虹阶梯 + 白色罗马柱走廊太出片
还有不怕人的鸽子🕊️ 随手一拍都是法式电影感（可惜去的时候喷泉没开，下次一定要蹲喷泉开放日！）
✨ 小彩蛋：南门到喷泉的路上有游乐场🎠 遛娃党狂喜
2️⃣方舟湖大草坪・野餐放风筝圣地
步行 13 分钟！湖对岸就是泡泡玛特城堡🏰 视野绝了网红花秋千拍照超少女，大草坪野餐人有点多但氛围超棒
想泛舟湖上的宝子可以冲码头，脚踏船 100 元 / 小时左右，湖风超舒服
3️⃣生命之源・《怦然心动》同款神树
步行 8 分钟！人超少的开阔大草坪，终于找到电影同款大树
坐在树下吹吹风，看着满眼绿意，整个人都放松了
这里野餐比方舟湖舒服 N 倍，赶紧码住！
4️⃣北码头・CBD 绝美观景台 + 萌宠互动
步行 15 分钟！国贸三件套无遮挡出镜，湖景配城市天际线
随手拍都是大片！旁边还有羊驼🦙和梅花鹿可以免费看
喂食 25 元 / 份，近距离贴贴萌化了！
5️⃣蓝港看夜景
步行 16 分钟！蓝色港湾一站式搞定欧式风格商业区超好拍，而且适合元旦跨年，逛累了直接找家餐厅干饭。
世纪喷泉附近还有自助咖啡机，逛渴了随时续命！
💡 贴心小 tips
🔹 门票：0 元！不用预约，直接冲
🔹 交通：地铁 14 号线朝阳公园站，南门就在附近超方便
🔹 全程：3-4h，9000 步左右，穿舒服的鞋子
#北京朝阳公园 #北京周末去哪儿 #北京 citywalk #公园拍照 #北京免费景点
01-04",,0,0,374,0,post,,公园D
小红书,这条线可以反着逛吗,2026-06-14,0,0,0,0,comment,Qw1ko.,公园D
小红书,当然可以啦,2026-06-14,0,1,0,0,comment,"往事随风
作者",公园D
小红书,@@忘不了麦香鱼,,0,0,0,0,comment,我爱吃开心果夹心,公园D
小红书,@做自己,,0,3,0,0,comment,家住花果山,公园D
小红书,这个也去！,,0,1,0,0,comment,做自己,公园D
小红书,"📢朝阳公园，你最近美得有点过分了！！
以前去真没发现，这次冲着活动去，结果被这个世纪喷泉广场硬控一下午⛲️！喷泉配欧式建筑，还有一群鸽子扑棱棱飞起来，瞬间穿越到欧洲广场——太出片了，原图直出的程度📸
	
🚇地铁坐到“朝阳公园南门”，一进门先是一片大草坪，好多人在露营野餐⛺️超级chill～别停留，直走！就是世纪喷泉广场！喷泉都是整点定时喷！
	
👉拍照点都在一条线上：
欧式建筑 ➡️ 儿童乐园（带娃可冲）➡️ 大草坪对面就是泡泡玛特，星星人就在这里，必须合影✨
	
逛完别急着走！往北码头方向去，五月天的5个大球找到了！！蓝调时刻灯一亮，绝美🌃
	
体力好的朋友，逛完直接从公园穿去蓝色港湾，夜景太好看了，全是漂亮年轻人～吃饭逛街都方便🍽️
	
⚠️说个重点：喷泉广场巨晒！巨晒！没有树荫，又是石头地面反光。防晒+帽子+水，一定要带！最近北京高温，千万别中暑🔥
	
补充一下这里去这个公园玩，一定要看好自己的东西啊！千万别大意！重要东西不离身！
#北京拍照 #朝阳公园 #世纪喷泉广场 #周末去哪儿 #北京小众打卡地 #北京朝阳摄影季 #镜遇朝阳
猜你想搜
朝阳公园门票多少钱
编辑于 06-01 北京",,0,0,22,0,post,,公园D
小红书,拍得太美了,2026-06-09,0,0,0,0,comment,lemon微甜,公园D
小红书,向你学习,2026-06-09,0,0,0,0,comment,"Miss薇
作者",公园D
小红书,还有吗,,0,0,0,0,comment,莫北,公园D
小红书,我拍的这些应该都有的吧,,0,0,0,0,comment,"Miss薇
作者",公园D
小红书,就是特别美，朝阳公园环境也好，可惜我们没拍上夜景,2026-06-11,0,0,0,0,comment,爱旅行的我,公园D
小红书,太大了时间根本不够玩，天黑了还没玩够,2026-06-12,0,0,0,0,comment,"Miss薇
作者",公园D
小红书,"wmls朝阳公园打卡小提示
老师们，去朝阳公园打卡五球的话，要注意坐地铁到枣营站或者东风北桥站下哦，不要在朝阳公园站下（p1粉色是地铁站，绿色是公交车站）
	
朝阳公园里一共有三个打卡点（大概位置见p1）：
1️⃣大五球在北边的湖上（导航可以定位到朝阳公园北码头，练团也是这里）
2️⃣小五球在蓝港的爱神广场上（导航可以定位到爱神广场）
3️⃣菜头粿在中心岛的贝壳剧场前面（导航可以定位到贝壳剧场）
	
朝阳公园特别特别大，跨了三个地铁站，其中：
朝阳公园站是14号线和3号线的换乘站，位于朝阳公园南门（从这站到大五球打卡点也就是北码头要步行半个小时，见p2）
枣营站是14号线，位于朝阳公园西门，离蓝色港湾最近（从这站步行到北码头约20分钟，如果从蓝港里穿行可以路过小五球，见p3）
东风北桥站是14号线，位于朝阳公园东北门（这站步行到北码头约15分钟，见p4）
	
公交车站也很多，东西南北四边都有好几个站，可以参考图上的位置
	
如果体力较好想要深度游览朝阳公园，可以从朝阳公园站下车，ABEF口都可以（F离南门最近），然后一直往北，走大概十五到二十分钟就能看到五球背面，再往北走会经过一个长桥，菜头粿所在的贝壳剧场就在桥西边上，东边就是五球侧面
	
如果只是去打卡，不需要逛公园的话，一定不要从朝阳公园站下车，建议从枣营站下，AD两个口都可以，A口离蓝港更近，先去蓝港爱神广场打卡小五球，然后一直往东走穿过一个桥就进公园了，再往东走大概五到十分钟就会走到一个路口，这个路口直走就是北码头五球，右拐就是贝壳剧场菜头粿。打卡完后，可以走回头路返回枣营站坐地铁，不想走回头路的话可以向东北方向走到东风北桥站坐地铁。
	
#wmls #wmls集合 #五月天 #五月天朝阳公园  #朝阳公园打卡点
猜你想搜
wmls什么意思
编辑于 04-30",,0,0,828,0,post,,公园D
小红书,老师 枣营地铁站哪个口下最方便？,,0,0,0,0,comment,在下不死鳥🥕（MDBJ尾周全勤版,公园D
小红书,其实枣营一共就俩口，去蓝港的话A比D近那么几十米吧，都在靠公园的一侧，不用担心走错,,0,1,0,0,comment,"小肥的大肥
作者",公园D
小红书,老师全程要多久啊,,0,0,0,0,comment,秋日阳光暖洋洋🥕,公园D
小红书,如果是枣营站下地铁，经过蓝港小五球，到大五球打卡，再到东风北桥站上地铁，这样一条路线大概是一个小时，当然也取决于你的拍照时长啦,,0,0,0,0,comment,"小肥的大肥
作者",公园D
小红书,老师这附近有好吃的店推荐吗,,0,0,0,0,comment,scxc,公园D
小红书,我都是在蓝港里吃，那边基本上什么类型的菜都有,,0,1,0,0,comment,"小肥的大肥
作者",公园D
小红书,骑共享单车可以进吗,,0,0,0,0,comment,Kworking,公园D
小红书,不行，只能骑到门口,,0,0,0,0,comment,"小肥的大肥
作者",公园D
小红书,老师打车有其他更优路径么,,0,0,0,0,comment,Pluto🥕🥝,公园D
小红书,白天去的话可以打到北2门，稍微近一点，但是晚上这边比较黑，还是建议从蓝港过来,,0,0,0,0,comment,"小肥的大肥
作者",公园D
小红书,老师，请问泡泡玛特城市乐园在这个地图里吗,,0,0,0,0,comment,心心🥕,公园D
小红书,在的，你看p3那张，地图下面有标注泡泡玛特乐园,,0,1,0,0,comment,"小肥的大肥
作者",公园D
小红书,我都走到了西5号门，也没看见呢,,0,0,0,0,comment,🍀水沐壹方,公园D
小红书,没看见五球么？今天我看说是大风所以放气了，你在西五的话可以去蓝港看小五球,,0,0,0,0,comment,"小肥的大肥
作者",公园D
小红书,我骑车去朝阳公园，酒店就2三公里,,0,0,0,0,comment,温柔与宇宙,公园D
小红书,诶我也是 我们不会同一个酒店吧,,0,0,0,0,comment,绿豆,公园D
小红书,老师老师，直接打车去朝阳公园看五球的话，定位哪里比较好呀？,,0,0,0,0,comment,菜头粿🥕🦈,公园D
小红书,蓝港吧，从蓝港进去先看小五球，再穿过蓝港去公园里看大五球,,0,0,0,0,comment,"小肥的大肥
作者",公园D
小红书,是霸王龙🦖吗？！,,0,1,0,0,comment,风止七里🌸,公园D
小红书,可能只是长得像,,0,0,0,0,comment,"小肥的大肥
作者",公园D
小红书,"🚪朝阳公园5个门怎么选？看这张表就够了
别再走错门了，不同入口差别巨大👇
🚪南门（首选）
地铁：14号线直达D2口
停车：有
适合：第一次来、地铁出行
最近景点：世纪喷泉、银杏大道
🚪西门
地铁：枣营站A口
停车：少量
适合：要去蓝港吃饭、拍彩虹阶梯
最近景点：彩虹阶梯、樱花谷
🚪东7门
地铁：不直达（需换乘公交）
停车：最大停车场
适合：自驾、遛狗
最近景点：野鸭岛、万人广场
🚪北门
地铁：不直达
停车：有但小
适合：跑步、想避开人群
最近景点：北湖、塑胶跑道起点
🚪东5门
地铁：不直达
停车：无
适合：附近居民、找清净
最近景点：小树林、秘密机位
📌最佳组合推荐
没车+第一次：南门进→逛→西门出（去蓝港吃饭）
自驾+遛娃：东7门进→玩完原路返回取车
跑步+人少：北门进→北门出
【一句话】南门最方便，西门次之，东7门给自驾。
#朝阳公园入口攻略 #怎么去朝阳公园
06-04 北京",,0,0,38,0,post,,公园D
小红书,请问我想做落日飞车和麦当劳，走哪边啊,2026-06-09,0,0,0,0,comment,Psy,公园D
小红书,走南门,2026-06-10,0,0,0,0,comment,十二楼的幻想,公园D
